Date,Open,High,Low,Close,Adj Close,Volume
10/07/2021,24312.04102,24598.09961,23820.18359,24111.14258,24111.14258,16523553726
11/07/2021,24102.91211,24886.42773,23986.14258,24636.77344,24636.77344,14468793826
12/07/2021,24646.72461,24911.54102,23553.4082,23876.22266,23876.22266,17514422568
13/07/2021,23854.3457,24055.00195,23355.75195,23687.45117,23687.45117,13850039561
14/07/2021,23703.25586,23857.27148,22850.59766,23687.49609,23687.49609,15427186056
15/07/2021,23691.48242,23961.25586,22580.75391,22982.71289,22982.71289,15403793610
16/07/2021,23026.69531,23366.39844,22510.16992,22827.11914,22827.11914,17217195992
17/07/2021,22809.51758,23200.82422,22683.60547,22908.14258,22908.14258,13726853361
18/07/2021,22908.73633,23537.22266,22661.79102,23102.16406,23102.16406,13650524440
19/07/2021,23104.49023,23187.01563,22318.83203,22547.86719,22547.86719,14951113770
20/07/2021,22562.83203,22679.69141,21560.89453,21861.87109,21861.87109,16977841980
21/07/2021,21853.75781,23887.74609,21666.75586,23417.94336,23417.94336,20568127374
22/07/2021,23438.49414,23700.4707,23076.00781,23461.60938,23461.60938,14198485777
23/07/2021,23456.41992,24414.05664,23298.20313,24414.05664,24414.05664,16395517998
24/07/2021,24422.91016,25086.6543,24300.14063,24942.67969,24942.67969,15757867868
25/07/2021,24941.11133,25706.62305,24644.02148,25695.91016,25695.91016,15160641108
26/07/2021,25720.50977,29317.83789,25657.89844,27004.93164,27004.93164,36902518115
27/07/2021,26960.45313,28387.02734,26366.82813,28387.02734,28387.02734,25282601467
28/07/2021,28456.35742,29417.73242,27999.80273,28761.73633,28761.73633,27831557157
29/07/2021,28761.41016,29097.19531,28298.61719,28650.71094,28650.71094,19454855111
30/07/2021,28664.36133,30379.81836,27460.71289,30379.81836,30379.81836,23789087419
31/07/2021,30351.58984,30376.86914,29565.51367,29936.14453,29936.14453,18556529074
01/08/2021,29817.22852,30594.5293,28452,28767.21484,28767.21484,19205854098
02/08/2021,28718.54297,29025.74219,27903.02734,28222.42188,28222.42188,18426645874
03/08/2021,28205.47266,28603.08789,27161.78125,27413.79492,27413.79492,18817995544
04/08/2021,27457.1582,28771.36719,26983.5332,28617.36914,28617.36914,18267712337
05/08/2021,28615.21484,29680.49219,26927.39844,29344.91211,29344.91211,25263344860
06/08/2021,29342.26367,31191.29297,28688.67578,30858.75,30858.75,27550629087
07/08/2021,30870.49609,32203.11133,30716.0957,32106.50977,32106.50977,28845878981
